"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2022 00:15 - 02/01/2022 00:30","Germany (DE)","42689.61","45511.10"
"02/01/2022 00:30 - 02/01/2022 00:45","Germany (DE)","42839.25","45070.63"
"02/01/2022 00:45 - 02/01/2022 01:00","Germany (DE)","42263.25","44749.16"
"02/01/2022 01:00 - 02/01/2022 01:15","Germany (DE)","42218.01","44586.87"
"02/01/2022 01:15 - 02/01/2022 01:30","Germany (DE)","41462.62","44183.83"
"02/01/2022 01:30 - 02/01/2022 01:45","Germany (DE)","41063.64","44080.76"
"02/01/2022 01:45 - 02/01/2022 02:00","Germany (DE)","41187.09","43916.20"
"02/01/2022 02:00 - 02/01/2022 02:15","Germany (DE)","41088.03","43868.86"
"02/01/2022 02:15 - 02/01/2022 02:30","Germany (DE)","40784.63","43933.77"
"02/01/2022 02:30 - 02/01/2022 02:45","Germany (DE)","40685.03","43750.44"
"02/01/2022 02:45 - 02/01/2022 03:00","Germany (DE)","40504.07","43781.78"
"02/01/2022 03:00 - 02/01/2022 03:15","Germany (DE)","40425.09","43658.29"
"02/01/2022 03:15 - 02/01/2022 03:30","Germany (DE)","40450.28","43650.06"
"02/01/2022 03:30 - 02/01/2022 03:45","Germany (DE)","40566.33","43629.91"
"02/01/2022 03:45 - 02/01/2022 04:00","Germany (DE)","40705.18","43769.66"
"02/01/2022 04:00 - 02/01/2022 04:15","Germany (DE)","40912.79","44062.16"
"02/01/2022 04:15 - 02/01/2022 04:30","Germany (DE)","40475.16","44269.70"
"02/01/2022 04:30 - 02/01/2022 04:45","Germany (DE)","40708.40","44410.36"
"02/01/2022 04:45 - 02/01/2022 05:00","Germany (DE)","40756.30","44399.72"
"02/01/2022 05:00 - 02/01/2022 05:15","Germany (DE)","40946.53","44259.77"
"02/01/2022 05:15 - 02/01/2022 05:30","Germany (DE)","40611.01","44074.15"
"02/01/2022 05:30 - 02/01/2022 05:45","Germany (DE)","40707.86","44049.82"
"02/01/2022 05:45 - 02/01/2022 06:00","Germany (DE)","40720.36","44184.66"
"02/01/2022 06:00 - 02/01/2022 06:15","Germany (DE)","40300.18","43690.73"
"02/01/2022 06:15 - 02/01/2022 06:30","Germany (DE)","40217.27","43786.16"
"02/01/2022 06:30 - 02/01/2022 06:45","Germany (DE)","40357.10","43744.14"
"02/01/2022 06:45 - 02/01/2022 07:00","Germany (DE)","40715.86","43888.31"
"02/01/2022 07:00 - 02/01/2022 07:15","Germany (DE)","41299.28","43725.78"
"02/01/2022 07:15 - 02/01/2022 07:30","Germany (DE)","41894.52","44200.13"
"02/01/2022 07:30 - 02/01/2022 07:45","Germany (DE)","42559.89","44861.93"
"02/01/2022 07:45 - 02/01/2022 08:00","Germany (DE)","43260.09","45436.02"
"02/01/2022 08:00 - 02/01/2022 08:15","Germany (DE)","44197.17","46033.92"
"02/01/2022 08:15 - 02/01/2022 08:30","Germany (DE)","44974.60","46580.15"
"02/01/2022 08:30 - 02/01/2022 08:45","Germany (DE)","45872.82","47505.40"
"02/01/2022 08:45 - 02/01/2022 09:00","Germany (DE)","46625.86","48526.80"
"02/01/2022 09:00 - 02/01/2022 09:15","Germany (DE)","47726.71","49513.18"
"02/01/2022 09:15 - 02/01/2022 09:30","Germany (DE)","48215.76","50561.10"
"02/01/2022 09:30 - 02/01/2022 09:45","Germany (DE)","48481.76","51047.86"
"02/01/2022 09:45 - 02/01/2022 10:00","Germany (DE)","48949.86","51633.86"
"02/01/2022 10:00 - 02/01/2022 10:15","Germany (DE)","49844.08","52245.62"
"02/01/2022 10:15 - 02/01/2022 10:30","Germany (DE)","50028.71","52839.04"
"02/01/2022 10:30 - 02/01/2022 10:45","Germany (DE)","50906.99","53213.05"
"02/01/2022 10:45 - 02/01/2022 11:00","Germany (DE)","51553.27","53645.71"
"02/01/2022 11:00 - 02/01/2022 11:15","Germany (DE)","52539.90","54462.54"
"02/01/2022 11:15 - 02/01/2022 11:30","Germany (DE)","53650.83","55105.44"
"02/01/2022 11:30 - 02/01/2022 11:45","Germany (DE)","54145.56","55528.39"
"02/01/2022 11:45 - 02/01/2022 12:00","Germany (DE)","54243.58","55459.19"
"02/01/2022 12:00 - 02/01/2022 12:15","Germany (DE)","54759.28","55631.17"
"02/01/2022 12:15 - 02/01/2022 12:30","Germany (DE)","54645.93","55417.92"
"02/01/2022 12:30 - 02/01/2022 12:45","Germany (DE)","54523.20","55112.88"
"02/01/2022 12:45 - 02/01/2022 13:00","Germany (DE)","54222.48","54979.36"
"02/01/2022 13:00 - 02/01/2022 13:15","Germany (DE)","53701.78","54904.40"
"02/01/2022 13:15 - 02/01/2022 13:30","Germany (DE)","53332.04","54539.93"
"02/01/2022 13:30 - 02/01/2022 13:45","Germany (DE)","53043.10","54203.84"
"02/01/2022 13:45 - 02/01/2022 14:00","Germany (DE)","53254.98","53929.33"
"02/01/2022 14:00 - 02/01/2022 14:15","Germany (DE)","52992.37","53799.17"
"02/01/2022 14:15 - 02/01/2022 14:30","Germany (DE)","52761.90","53520.63"
"02/01/2022 14:30 - 02/01/2022 14:45","Germany (DE)","52504.46","53330.92"
"02/01/2022 14:45 - 02/01/2022 15:00","Germany (DE)","52512.43","52914.56"
"02/01/2022 15:00 - 02/01/2022 15:15","Germany (DE)","53098.06","52970.62"
"02/01/2022 15:15 - 02/01/2022 15:30","Germany (DE)","53078.02","52717.72"
"02/01/2022 15:30 - 02/01/2022 15:45","Germany (DE)","53312.25","52544.90"
"02/01/2022 15:45 - 02/01/2022 16:00","Germany (DE)","53484.80","52777.54"
"02/01/2022 16:00 - 02/01/2022 16:15","Germany (DE)","54546.92","52984.66"
"02/01/2022 16:15 - 02/01/2022 16:30","Germany (DE)","55080.77","53400.07"
"02/01/2022 16:30 - 02/01/2022 16:45","Germany (DE)","55637.39","54328.35"
"02/01/2022 16:45 - 02/01/2022 17:00","Germany (DE)","56886.25","55351.50"
"02/01/2022 17:00 - 02/01/2022 17:15","Germany (DE)","57977.78","56367.79"
"02/01/2022 17:15 - 02/01/2022 17:30","Germany (DE)","58473.43","56713.43"
"02/01/2022 17:30 - 02/01/2022 17:45","Germany (DE)","58919.83","57136.44"
"02/01/2022 17:45 - 02/01/2022 18:00","Germany (DE)","59020.29","57406.80"
"02/01/2022 18:00 - 02/01/2022 18:15","Germany (DE)","58799.82","57829.37"
"02/01/2022 18:15 - 02/01/2022 18:30","Germany (DE)","58789.99","58033.56"
"02/01/2022 18:30 - 02/01/2022 18:45","Germany (DE)","58908.23","58174.19"
"02/01/2022 18:45 - 02/01/2022 19:00","Germany (DE)","58558.19","58001.93"
"02/01/2022 19:00 - 02/01/2022 19:15","Germany (DE)","58037.80","58085.68"
"02/01/2022 19:15 - 02/01/2022 19:30","Germany (DE)","57627.80","57826.11"
"02/01/2022 19:30 - 02/01/2022 19:45","Germany (DE)","57262.33","57386.99"
"02/01/2022 19:45 - 02/01/2022 20:00","Germany (DE)","56500.72","56915.62"
"02/01/2022 20:00 - 02/01/2022 20:15","Germany (DE)","55854.45","56657.46"
"02/01/2022 20:15 - 02/01/2022 20:30","Germany (DE)","55156.11","56171.93"
"02/01/2022 20:30 - 02/01/2022 20:45","Germany (DE)","54430.76","55327.91"
"02/01/2022 20:45 - 02/01/2022 21:00","Germany (DE)","53728.38","54753.87"
"02/01/2022 21:00 - 02/01/2022 21:15","Germany (DE)","53114.40","54337.16"
"02/01/2022 21:15 - 02/01/2022 21:30","Germany (DE)","52696.59","54047.87"
"02/01/2022 21:30 - 02/01/2022 21:45","Germany (DE)","52246.12","53751.13"
"02/01/2022 21:45 - 02/01/2022 22:00","Germany (DE)","51814.28","53695.96"
"02/01/2022 22:00 - 02/01/2022 22:15","Germany (DE)","52014.94","54289.13"
"02/01/2022 22:15 - 02/01/2022 22:30","Germany (DE)","51491.96","53909.41"
"02/01/2022 22:30 - 02/01/2022 22:45","Germany (DE)","50639.20","53277.35"
"02/01/2022 22:45 - 02/01/2022 23:00","Germany (DE)","49593.11","52553.49"
"02/01/2022 23:00 - 02/01/2022 23:15","Germany (DE)","48996.05","51610.08"
"02/01/2022 23:15 - 02/01/2022 23:30","Germany (DE)","48063.86","51160.44"
"02/01/2022 23:30 - 02/01/2022 23:45","Germany (DE)","47587.33","50509.67"
"02/01/2022 23:45 - 03/01/2022 00:00","Germany (DE)","46845.93","50102.22"
"03/01/2022 00:00 - 03/01/2022 00:15","Germany (DE)","45952.27","49674.73"
"03/01/2022 00:15 - 03/01/2022 00:30","Germany (DE)","45642.05","49072.77"
"03/01/2022 00:30 - 03/01/2022 00:45","Germany (DE)","45284.26","48586.11"
"03/01/2022 00:45 - 03/01/2022 01:00","Germany (DE)","44644.80","48029.35"
"03/01/2022 01:00 - 03/01/2022 01:15","Germany (DE)","44267.40","47683.89"
"03/01/2022 01:15 - 03/01/2022 01:30","Germany (DE)","43712.20","47270.59"
"03/01/2022 01:30 - 03/01/2022 01:45","Germany (DE)","43568.54","46943.10"
"03/01/2022 01:45 - 03/01/2022 02:00","Germany (DE)","43000.28","46666.28"
