"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"05/01/2015 20:00 - 05/01/2015 21:00","Italy (IT)","34946.00","35821.00"
"05/01/2015 21:00 - 05/01/2015 22:00","Italy (IT)","32272.00","32881.00"
"05/01/2015 22:00 - 05/01/2015 23:00","Italy (IT)","29057.00","29378.00"
"05/01/2015 23:00 - 06/01/2015 00:00","Italy (IT)","25962.00","25934.00"
"06/01/2015 00:00 - 06/01/2015 01:00","Italy (IT)","23214.00","22561.00"
"06/01/2015 01:00 - 06/01/2015 02:00","Italy (IT)","21259.00","20610.00"
"06/01/2015 02:00 - 06/01/2015 03:00","Italy (IT)","20186.00","19439.00"
"06/01/2015 03:00 - 06/01/2015 04:00","Italy (IT)","19612.00","18952.00"
"06/01/2015 04:00 - 06/01/2015 05:00","Italy (IT)","19599.00","18930.00"
"06/01/2015 05:00 - 06/01/2015 06:00","Italy (IT)","20115.00","19456.00"
"06/01/2015 06:00 - 06/01/2015 07:00","Italy (IT)","21654.00","20919.00"
"06/01/2015 07:00 - 06/01/2015 08:00","Italy (IT)","23099.00","22459.00"
"06/01/2015 08:00 - 06/01/2015 09:00","Italy (IT)","24579.00","24036.00"
"06/01/2015 09:00 - 06/01/2015 10:00","Italy (IT)","26930.00","26447.00"
"06/01/2015 10:00 - 06/01/2015 11:00","Italy (IT)","28752.00","28283.00"
"06/01/2015 11:00 - 06/01/2015 12:00","Italy (IT)","30062.00","29324.00"
"06/01/2015 12:00 - 06/01/2015 13:00","Italy (IT)","29464.00","28823.00"
"06/01/2015 13:00 - 06/01/2015 14:00","Italy (IT)","27375.00","26993.00"
"06/01/2015 14:00 - 06/01/2015 15:00","Italy (IT)","26138.00","26253.00"
"06/01/2015 15:00 - 06/01/2015 16:00","Italy (IT)","26166.00","26313.00"
"06/01/2015 16:00 - 06/01/2015 17:00","Italy (IT)","27222.00","27609.00"
"06/01/2015 17:00 - 06/01/2015 18:00","Italy (IT)","31679.00","31519.00"
"06/01/2015 18:00 - 06/01/2015 19:00","Italy (IT)","33459.00","32918.00"
"06/01/2015 19:00 - 06/01/2015 20:00","Italy (IT)","33678.00","33629.00"
"06/01/2015 20:00 - 06/01/2015 21:00","Italy (IT)","32689.00","32778.00"
"06/01/2015 21:00 - 06/01/2015 22:00","Italy (IT)","30770.00","31028.00"
"06/01/2015 22:00 - 06/01/2015 23:00","Italy (IT)","28087.00","28483.00"
"06/01/2015 23:00 - 07/01/2015 00:00","Italy (IT)","24915.00","25354.00"
"07/01/2015 00:00 - 07/01/2015 01:00","Italy (IT)","22270.00","23291.00"
"07/01/2015 01:00 - 07/01/2015 02:00","Italy (IT)","20523.00","21248.00"
"07/01/2015 02:00 - 07/01/2015 03:00","Italy (IT)","19664.00","20079.00"
"07/01/2015 03:00 - 07/01/2015 04:00","Italy (IT)","19541.00","19604.00"
"07/01/2015 04:00 - 07/01/2015 05:00","Italy (IT)","19965.00","20123.00"
"07/01/2015 05:00 - 07/01/2015 06:00","Italy (IT)","21832.00","21958.00"
"07/01/2015 06:00 - 07/01/2015 07:00","Italy (IT)","27800.00","26985.00"
"07/01/2015 07:00 - 07/01/2015 08:00","Italy (IT)","34532.00","33662.00"
"07/01/2015 08:00 - 07/01/2015 09:00","Italy (IT)","39273.00","38402.00"
"07/01/2015 09:00 - 07/01/2015 10:00","Italy (IT)","42099.00","40732.00"
"07/01/2015 10:00 - 07/01/2015 11:00","Italy (IT)","42423.00","41681.00"
"07/01/2015 11:00 - 07/01/2015 12:00","Italy (IT)","42205.00","42009.00"
"07/01/2015 12:00 - 07/01/2015 13:00","Italy (IT)","39772.00","39609.00"
"07/01/2015 13:00 - 07/01/2015 14:00","Italy (IT)","39334.00","38606.00"
"07/01/2015 14:00 - 07/01/2015 15:00","Italy (IT)","40422.00","38863.00"
"07/01/2015 15:00 - 07/01/2015 16:00","Italy (IT)","41181.00","39283.00"
"07/01/2015 16:00 - 07/01/2015 17:00","Italy (IT)","42503.00","41046.00"
"07/01/2015 17:00 - 07/01/2015 18:00","Italy (IT)","45265.00","43828.00"
"07/01/2015 18:00 - 07/01/2015 19:00","Italy (IT)","44376.00","43319.00"
"07/01/2015 19:00 - 07/01/2015 20:00","Italy (IT)","43008.00","41890.00"
"07/01/2015 20:00 - 07/01/2015 21:00","Italy (IT)","40339.00","39215.00"
"07/01/2015 21:00 - 07/01/2015 22:00","Italy (IT)","37168.00","36044.00"
"07/01/2015 22:00 - 07/01/2015 23:00","Italy (IT)","32964.00","31850.00"
"07/01/2015 23:00 - 08/01/2015 00:00","Italy (IT)","29282.00","28139.00"
"08/01/2015 00:00 - 08/01/2015 01:00","Italy (IT)","26120.00","25308.00"
"08/01/2015 01:00 - 08/01/2015 02:00","Italy (IT)","24256.00","23681.00"
"08/01/2015 02:00 - 08/01/2015 03:00","Italy (IT)","23337.00","22676.00"
"08/01/2015 03:00 - 08/01/2015 04:00","Italy (IT)","23058.00","22574.00"
